,Charge,E_LUMO,E_HOMO,HOMO-1,,dG,dG error,dH,viscosity,diffusion,gfet,dlcst,sn2,activity,lysozyme
Ba²⁺,2,-0.44084,-1.20459,-1.20459,,,,143.2258065,0.024623656,0.85,16.9,,,,
Be²⁺,2,-0.7899,-5.04061,N/A,,,,627.5,0.1125,0.6,,,,,
Ca²⁺,2,-0.52754,-1.65157,-1.65157,,-206.49,14.74,228.8571429,0.042571429,0.79,11.2,,,,
Cs⁺,1,-0.1956,-0.73088,-0.73088,,,,36.28205128,-0.006025641,2.06,8.7,-10.4,,,
K⁺,1,-0.21707,-0.97499,-0.97499,,-45.61,4.93,40.24096386,-0.001084337,1.96,8.4,-11.8,,,
Li⁺,1,-0.25761,-2.35386,N/A,,-140.9,7.27,126.4285714,0.034761905,1.03,3,-7.5,,,
Mg²⁺,2,-0.66179,-2.58028,-2.58028,,-298.1,12.16,324.8333333,0.064166667,0.71,2,,,,
Na⁺,1,-0.25711,-1.44357,-1.44357,,-74.52,7.65,77.03703704,0.015740741,1.33,7,-12.4,,,
Et₄N⁺,1,-0.1182,-0.50722,-0.51162,,,,,,0.87,1,,,,
Pr₄N⁺,1,-0.10434,-0.44437,-0.46127,,,,,,0.63,-8.8,,,,
Bu₄N⁺,1,-0.09972,-0.42445,-0.43955,,,,,,0.52,-23.1,,,,
Me₄N⁺,1,-0.15151,-0.57925,-0.58506,,-18.74,2.19,,,1.2,7,,,,
NH₄⁺,1,-0.24609,-0.7896,-0.83176,,-56.98,13.21,,,1.96,11.3,-7.6,,,
Rb⁺,1,-0.21073,-0.84911,-0.84911,,,,43.38028169,-0.004647887,2.07,9.6,,,,
Sr²⁺,2,-0.48652,-1.40627,-1.40627,,,,163.3333333,0.030222222,0.79,7.1,,,,
